FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0037,,,
Plane,면-2,10,Flatness,,,0.0001,,,
Plane,니들베이스면,11,Flatness,,,0.0005,,,
Distance,베이스두께1,16,SC,1.0060,,,,,
Distance,베이스면두께2,17,SC,1.0009,,,,,
Distance,베이스두께3,18,SC,0.9983,,,,,
Distance,베이스두께4,19,SC,1.0054,,,,,
Distance,서포트두께1,24,SC,0.4595,,,,,
Distance,서포트두께2,25,SC,0.4548,,,,,
Distance,서포트두께3,26,SC,0.4491,,,,,
Distance,서포트두께4,27,SC,0.4640,,,,,
Circle,니들내경,28,Diameter,9.9409,,,,,
Circle,니들내경,28,Radius,4.9705,,,,,
Distance,k,73,LC,0.7928,,,,,
Distance,l,74,LC,1.5884,,,,,
Distance,m,75,LC,2.3828,,,,,
Distance,n,76,LC,3.1767,,,,,
Distance,o,77,LC,3.9728,,,,,
Distance,p,78,LC,0.7984,,,,,
Distance,q,79,LC,1.5952,,,,,
Distance,r,80,LC,2.3900,,,,,
Distance,s,81,LC,3.1829,,,,,
Distance,t,82,LC,3.9775,,,,,
Distance,u,83,LC,0.7949,,,,,
Distance,v,84,LC,1.5911,,,,,
Distance,w,85,LC,2.3870,,,,,
Distance,x,86,LC,3.1797,,,,,
Distance,y,87,LC,3.9761,,,,,
Distance,z,88,LC,0.7962,,,,,
Distance,label1,89,LC,1.5921,,,,,
Distance,label2,90,LC,2.3859,,,,,
Distance,label3,91,LC,3.1852,,,,,
Distance,label4,92,LC,3.9771,,,,,
Circle,MN_out_Diameter,93,Diameter,13.6441,,,,,
Circle,MN_out_Diameter,93,Radius,6.8220,,,,,
Distance,cplusd,99,LC,10.4992,,,,,
Distance,aplusb,101,LC,12.9140,,,,,
