,0
a+b,12.8317
c+d,10.4991
f,9.9308
g,0.4673
h,1.0786
i,0.0043
k,0.7961
l,1.5917
m,2.387
n,3.1809
o,3.9772
p,0.794
q,1.5894
r,2.3846
s,3.1805
t,3.972
u,0.7948
v,1.5901999999999998
w,2.3868
x,3.1801999999999997
y,3.9793
z,0.7965
1,1.5914000000000001
2,2.387
3,3.1827
4,3.9752
5,7.9492
6,7.9544999999999995
