FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0071,,,
Plane,면-2,10,Flatness,,,0.0003,,,
Plane,니들베이스면,11,Flatness,,,0.0019,,,
Distance,베이스두께1,16,SC,0.9988,,,,,
Distance,베이스면두께2,17,SC,1.0056,,,,,
Distance,베이스두께3,18,SC,0.9990,,,,,
Distance,베이스두께4,19,SC,0.9960,,,,,
Distance,서포트두께1,24,SC,0.4990,,,,,
Distance,서포트두께2,25,SC,0.5040,,,,,
Distance,서포트두께3,26,SC,0.4879,,,,,
Distance,서포트두께4,27,SC,0.4957,,,,,
Circle,니들내경,28,Diameter,9.9164,,,,,
Circle,니들내경,28,Radius,4.9582,,,,,
Distance,k,73,LC,0.7570,,,,,
Distance,l,74,LC,1.5497,,,,,
Distance,m,75,LC,2.3859,,,,,
Distance,n,76,LC,3.1812,,,,,
Distance,o,77,LC,3.9822,,,,,
Distance,p,78,LC,0.7860,,,,,
Distance,q,79,LC,1.5714,,,,,
Distance,r,80,LC,2.3851,,,,,
Distance,s,81,LC,3.1678,,,,,
Distance,t,82,LC,3.9537,,,,,
Distance,u,83,LC,0.8035,,,,,
Distance,v,84,LC,1.6000,,,,,
Distance,w,85,LC,2.3947,,,,,
Distance,x,86,LC,3.1899,,,,,
Distance,y,87,LC,3.9801,,,,,
Distance,z,88,LC,0.7841,,,,,
Distance,label1,89,LC,1.5845,,,,,
Distance,label2,90,LC,2.3760,,,,,
Distance,label3,91,LC,3.1651,,,,,
Distance,label4,92,LC,3.9606,,,,,
Circle,MN_out_Diameter,93,Diameter,13.3704,,,,,
Circle,MN_out_Diameter,93,Radius,6.6852,,,,,
Distance,cplusd,99,LC,10.4764,,,,,
Distance,aplusb,101,LC,12.9660,,,,,
Circle,원-1,102,Diameter,13.5953,,,,,
Circle,원-1,102,Radius,6.7977,,,,,
