FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0025,,,
Plane,면-2,10,Flatness,,,0.0001,,,
Plane,니들베이스면,11,Flatness,,,0.0017,,,
Distance,베이스두께1,16,SC,1.0419,,,,,
Distance,베이스면두께2,17,SC,1.0336,,,,,
Distance,베이스두께3,18,SC,1.0053,,,,,
Distance,베이스두께4,19,SC,1.0160,,,,,
Distance,서포트두께1,24,SC,0.5004,,,,,
Distance,서포트두께2,25,SC,0.5047,,,,,
Distance,서포트두께3,26,SC,0.4907,,,,,
Distance,서포트두께4,27,SC,0.4959,,,,,
Circle,니들내경,28,Diameter,9.9372,,,,,
Circle,니들내경,28,Radius,4.9686,,,,,
Circle,니들외경,29,Diameter,13.6098,,,,,
Circle,니들외경,29,Radius,6.8049,,,,,
Distance,k,74,LC,0.7660,,,,,
Distance,l,75,LC,1.5631,,,,,
Distance,m,76,LC,2.3960,,,,,
Distance,n,77,LC,3.1973,,,,,
Distance,o,78,LC,3.9912,,,,,
Distance,p,79,LC,0.8010,,,,,
Distance,q,80,LC,1.5855,,,,,
Distance,r,81,LC,2.3742,,,,,
Distance,s,82,LC,3.1451,,,,,
Distance,t,83,LC,3.9677,,,,,
Distance,u,84,LC,0.8106,,,,,
Distance,v,85,LC,1.6050,,,,,
Distance,w,86,LC,2.3981,,,,,
Distance,x,87,LC,3.1953,,,,,
Distance,y,88,LC,3.9880,,,,,
Distance,z,89,LC,0.7838,,,,,
Distance,label1,90,LC,1.5763,,,,,
Distance,label2,91,LC,2.3711,,,,,
Distance,label3,92,LC,3.1672,,,,,
Distance,label4,93,LC,3.9643,,,,,
