FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0020,,,
Plane,면-2,10,Flatness,,,0.0001,,,
Plane,니들베이스면,11,Flatness,,,0.0046,,,
Distance,베이스두께1,16,SC,1.0075,,,,,
Distance,베이스면두께2,17,SC,1.0144,,,,,
Distance,베이스두께3,18,SC,1.0138,,,,,
Distance,베이스두께4,19,SC,1.0124,,,,,
Distance,서포트두께1,24,SC,0.5021,,,,,
Distance,서포트두께2,25,SC,0.5064,,,,,
Distance,서포트두께3,26,SC,0.4922,,,,,
Distance,서포트두께4,27,SC,0.4978,,,,,
Circle,니들내경,28,Diameter,9.9397,,,,,
Circle,니들내경,28,Radius,4.9698,,,,,
Circle,니들외경,29,Diameter,13.5843,,,,,
Circle,니들외경,29,Radius,6.7922,,,,,
Distance,k,74,LC,0.7670,,,,,
Distance,l,75,LC,1.5601,,,,,
Distance,m,76,LC,2.4116,,,,,
Distance,n,77,LC,3.1963,,,,,
Distance,o,78,LC,3.9946,,,,,
Distance,p,79,LC,0.8077,,,,,
Distance,q,80,LC,1.5916,,,,,
Distance,r,81,LC,2.3773,,,,,
Distance,s,82,LC,3.1705,,,,,
Distance,t,83,LC,3.9699,,,,,
Distance,u,84,LC,0.7999,,,,,
Distance,v,85,LC,1.5967,,,,,
Distance,w,86,LC,2.3902,,,,,
Distance,x,87,LC,3.1888,,,,,
Distance,y,88,LC,3.9815,,,,,
Distance,z,89,LC,0.7945,,,,,
Distance,label1,90,LC,1.5872,,,,,
Distance,label2,91,LC,2.3827,,,,,
Distance,label3,92,LC,3.1766,,,,,
Distance,label4,93,LC,3.9732,,,,,
Circle,외경,94,Diameter,13.6268,,,,,
Circle,외경,94,Radius,6.8134,,,,,
