FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0021,,,
Plane,면-2,10,Flatness,,,0.0001,,,
Plane,니들베이스면,11,Flatness,,,0.0012,,,
Distance,베이스두께1,16,SC,1.0047,,,,,
Distance,베이스면두께2,17,SC,1.0035,,,,,
Distance,베이스두께3,18,SC,1.0007,,,,,
Distance,베이스두께4,19,SC,1.0036,,,,,
Distance,서포트두께1,24,SC,0.4617,,,,,
Distance,서포트두께2,25,SC,0.4514,,,,,
Distance,서포트두께3,26,SC,0.4496,,,,,
Distance,서포트두께4,27,SC,0.4678,,,,,
Circle,니들내경,28,Diameter,9.9395,,,,,
Circle,니들내경,28,Radius,4.9698,,,,,
Distance,k,73,LC,0.7908,,,,,
Distance,l,74,LC,1.5868,,,,,
Distance,m,75,LC,2.3843,,,,,
Distance,n,76,LC,3.1777,,,,,
Distance,o,77,LC,3.9743,,,,,
Distance,p,78,LC,0.8013,,,,,
Distance,q,79,LC,1.5941,,,,,
Distance,r,80,LC,2.3882,,,,,
Distance,s,81,LC,3.1893,,,,,
Distance,t,82,LC,3.9860,,,,,
Distance,u,83,LC,0.7937,,,,,
Distance,v,84,LC,1.5900,,,,,
Distance,w,85,LC,2.3864,,,,,
Distance,x,86,LC,3.1781,,,,,
Distance,y,87,LC,3.9751,,,,,
Distance,z,88,LC,0.7935,,,,,
Distance,label1,89,LC,1.5923,,,,,
Distance,label2,90,LC,2.3859,,,,,
Distance,label3,91,LC,3.1814,,,,,
Distance,label4,92,LC,3.9757,,,,,
Circle,MN_out_Diameter,93,Diameter,13.6398,,,,,
Circle,MN_out_Diameter,93,Radius,6.8199,,,,,
