FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0024,,,
Plane,면-2,10,Flatness,,,0.0009,,,
Plane,니들베이스면,11,Flatness,,,0.0016,,,
Distance,베이스두께1,16,SC,1.0098,,,,,
Distance,베이스면두께2,17,SC,1.0057,,,,,
Distance,베이스두께3,18,SC,1.0015,,,,,
Distance,베이스두께4,19,SC,1.0057,,,,,
Distance,서포트두께1,24,SC,0.5025,,,,,
Distance,서포트두께2,25,SC,0.5105,,,,,
Distance,서포트두께3,26,SC,0.4945,,,,,
Distance,서포트두께4,27,SC,0.4973,,,,,
Circle,니들내경,28,Diameter,9.9379,,,,,
Circle,니들내경,28,Radius,4.9690,,,,,
Distance,k,73,LC,0.7580,,,,,
Distance,l,74,LC,1.5490,,,,,
Distance,m,75,LC,2.3791,,,,,
Distance,n,76,LC,3.1857,,,,,
Distance,o,77,LC,3.9777,,,,,
Distance,p,78,LC,0.8164,,,,,
Distance,q,79,LC,1.6083,,,,,
Distance,r,80,LC,2.3904,,,,,
Distance,s,81,LC,3.1823,,,,,
Distance,t,82,LC,3.9805,,,,,
Distance,u,83,LC,0.8016,,,,,
Distance,v,84,LC,1.5963,,,,,
Distance,w,85,LC,2.3912,,,,,
Distance,x,86,LC,3.1864,,,,,
Distance,y,87,LC,3.9780,,,,,
Distance,z,88,LC,0.7926,,,,,
Distance,label1,89,LC,1.5853,,,,,
Distance,label2,90,LC,2.3822,,,,,
Distance,label3,91,LC,3.1773,,,,,
Distance,label4,92,LC,3.9770,,,,,
Circle,MN_out_Diameter,93,Diameter,13.3984,,,,,
Circle,MN_out_Diameter,93,Radius,6.6992,,,,,
Distance,cplusd,99,LC,10.5011,,,,,
Distance,aplusb,101,LC,12.9612,,,,,
Circle,원-1,102,Diameter,13.6390,,,,,
Circle,원-1,102,Radius,6.8195,,,,,
