FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0022,,,
Plane,면-2,10,Flatness,,,0.0008,,,
Plane,니들베이스면,11,Flatness,,,0.0032,,,
Distance,베이스두께1,16,SC,1.0063,,,,,
Distance,베이스면두께2,17,SC,1.0090,,,,,
Distance,베이스두께3,18,SC,1.0054,,,,,
Distance,베이스두께4,19,SC,1.0050,,,,,
Distance,서포트두께1,24,SC,0.5007,,,,,
Distance,서포트두께2,25,SC,0.5088,,,,,
Distance,서포트두께3,26,SC,0.4947,,,,,
Distance,서포트두께4,27,SC,0.4975,,,,,
Circle,니들내경,28,Diameter,9.9367,,,,,
Circle,니들내경,28,Radius,4.9684,,,,,
Distance,k,73,LC,0.7602,,,,,
Distance,l,74,LC,1.5508,,,,,
Distance,m,75,LC,2.3859,,,,,
Distance,n,76,LC,3.1811,,,,,
Distance,o,77,LC,3.9812,,,,,
Distance,p,78,LC,0.8090,,,,,
Distance,q,79,LC,1.5967,,,,,
Distance,r,80,LC,2.3944,,,,,
Distance,s,81,LC,3.1974,,,,,
Distance,t,82,LC,3.9798,,,,,
Distance,u,83,LC,0.8049,,,,,
Distance,v,84,LC,1.5996,,,,,
Distance,w,85,LC,2.3920,,,,,
Distance,x,86,LC,3.1894,,,,,
Distance,y,87,LC,3.9816,,,,,
Distance,z,88,LC,0.7886,,,,,
Distance,label1,89,LC,1.5820,,,,,
Distance,label2,90,LC,2.3741,,,,,
Distance,label3,91,LC,3.1737,,,,,
Distance,label4,92,LC,3.9692,,,,,
Circle,MN_out_Diameter,93,Diameter,13.4118,,,,,
Circle,MN_out_Diameter,93,Radius,6.7059,,,,,
Distance,cplusd,99,LC,10.4971,,,,,
Distance,aplusb,101,LC,12.9140,,,,,
Circle,원-1,102,Diameter,13.6284,,,,,
Circle,원-1,102,Radius,6.8142,,,,,
