FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0002,,,
Plane,면-2,10,Flatness,,,0.0011,,,
Plane,니들베이스면,11,Flatness,,,0.0002,,,
Distance,베이스두께1,16,SC,1.0123,,,,,
Distance,베이스면두께2,17,SC,1.0057,,,,,
Distance,베이스두께3,18,SC,0.9956,,,,,
Distance,베이스두께4,19,SC,1.0067,,,,,
Distance,서포트두께1,24,SC,0.4645,,,,,
Distance,서포트두께2,25,SC,0.4503,,,,,
Distance,서포트두께3,26,SC,0.4471,,,,,
Distance,서포트두께4,27,SC,0.4653,,,,,
Circle,니들내경,28,Diameter,9.9421,,,,,
Circle,니들내경,28,Radius,4.9711,,,,,
Distance,k,73,LC,0.7951,,,,,
Distance,l,74,LC,1.5894,,,,,
Distance,m,75,LC,2.3867,,,,,
Distance,n,76,LC,3.1797,,,,,
Distance,o,77,LC,3.9761,,,,,
Distance,p,78,LC,0.7974,,,,,
Distance,q,79,LC,1.5937,,,,,
Distance,r,80,LC,2.3890,,,,,
Distance,s,81,LC,3.1810,,,,,
Distance,t,82,LC,3.9806,,,,,
Distance,u,83,LC,0.7954,,,,,
Distance,v,84,LC,1.5910,,,,,
Distance,w,85,LC,2.3877,,,,,
Distance,x,86,LC,3.1810,,,,,
Distance,y,87,LC,3.9766,,,,,
Distance,z,88,LC,0.7971,,,,,
Distance,label1,89,LC,1.5919,,,,,
Distance,label2,90,LC,2.3849,,,,,
Distance,label3,91,LC,3.1814,,,,,
Distance,label4,92,LC,3.9746,,,,,
Circle,MN_out_Diameter,93,Diameter,13.6496,,,,,
Circle,MN_out_Diameter,93,Radius,6.8248,,,,,
