FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0017,,,
Plane,면-2,10,Flatness,,,0.0006,,,
Plane,니들베이스면,11,Flatness,,,0.0053,,,
Distance,베이스두께1,16,SC,1.0066,,,,,
Distance,베이스면두께2,17,SC,1.0102,,,,,
Distance,베이스두께3,18,SC,1.0038,,,,,
Distance,베이스두께4,19,SC,1.0040,,,,,
Distance,서포트두께1,24,SC,0.5014,,,,,
Distance,서포트두께2,25,SC,0.5083,,,,,
Distance,서포트두께3,26,SC,0.4944,,,,,
Distance,서포트두께4,27,SC,0.4962,,,,,
Circle,니들내경,28,Diameter,9.9399,,,,,
Circle,니들내경,28,Radius,4.9700,,,,,
Circle,니들외경,29,Diameter,13.5948,,,,,
Circle,니들외경,29,Radius,6.7974,,,,,
Distance,k,74,LC,0.7640,,,,,
Distance,l,75,LC,1.5563,,,,,
Distance,m,76,LC,2.3874,,,,,
Distance,n,77,LC,3.1948,,,,,
Distance,o,78,LC,3.9770,,,,,
Distance,p,79,LC,0.8090,,,,,
Distance,q,80,LC,1.5760,,,,,
Distance,r,81,LC,2.3761,,,,,
Distance,s,82,LC,3.1764,,,,,
Distance,t,83,LC,3.9751,,,,,
Distance,u,84,LC,0.8004,,,,,
Distance,v,85,LC,1.5952,,,,,
Distance,w,86,LC,2.3899,,,,,
Distance,x,87,LC,3.1871,,,,,
Distance,y,88,LC,3.9785,,,,,
Distance,z,89,LC,0.7921,,,,,
Distance,label1,90,LC,1.5863,,,,,
Distance,label2,91,LC,2.3802,,,,,
Distance,label3,92,LC,3.1784,,,,,
Distance,label4,93,LC,3.9782,,,,,
