FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0022,,,
Plane,면-2,10,Flatness,,,0.0002,,,
Plane,니들베이스면,11,Flatness,,,0.0050,,,
Distance,베이스두께1,16,SC,1.0111,,,,,
Distance,베이스면두께2,17,SC,1.0125,,,,,
Distance,베이스두께3,18,SC,1.0033,,,,,
Distance,베이스두께4,19,SC,1.0074,,,,,
Distance,서포트두께1,24,SC,0.5049,,,,,
Distance,서포트두께2,25,SC,0.5062,,,,,
Distance,서포트두께3,26,SC,0.4941,,,,,
Distance,서포트두께4,27,SC,0.4997,,,,,
Circle,니들내경,28,Diameter,9.9408,,,,,
Circle,니들내경,28,Radius,4.9704,,,,,
Circle,니들외경,29,Diameter,13.6002,,,,,
Circle,니들외경,29,Radius,6.8001,,,,,
Distance,k,74,LC,0.7611,,,,,
Distance,l,75,LC,1.5560,,,,,
Distance,m,76,LC,2.3817,,,,,
Distance,n,77,LC,3.1801,,,,,
Distance,o,78,LC,3.9803,,,,,
Distance,p,79,LC,0.8071,,,,,
Distance,q,80,LC,1.5938,,,,,
Distance,r,81,LC,2.3853,,,,,
Distance,s,82,LC,3.1463,,,,,
Distance,t,83,LC,3.9761,,,,,
Distance,u,84,LC,0.8029,,,,,
Distance,v,85,LC,1.5971,,,,,
Distance,w,86,LC,2.3920,,,,,
Distance,x,87,LC,3.1898,,,,,
Distance,y,88,LC,3.9808,,,,,
Distance,z,89,LC,0.7917,,,,,
Distance,label1,90,LC,1.5844,,,,,
Distance,label2,91,LC,2.3829,,,,,
Distance,label3,92,LC,3.1753,,,,,
Distance,label4,93,LC,3.9722,,,,,
