FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0066,,,
Plane,면-2,10,Flatness,,,0.0001,,,
Plane,니들베이스면,11,Flatness,,,0.0037,,,
Distance,베이스두께1,16,SC,0.9969,,,,,
Distance,베이스면두께2,17,SC,1.0059,,,,,
Distance,베이스두께3,18,SC,0.9987,,,,,
Distance,베이스두께4,19,SC,0.9946,,,,,
Distance,서포트두께1,24,SC,0.4988,,,,,
Distance,서포트두께2,25,SC,0.5027,,,,,
Distance,서포트두께3,26,SC,0.4878,,,,,
Distance,서포트두께4,27,SC,0.4957,,,,,
Circle,니들내경,28,Diameter,9.9186,,,,,
Circle,니들내경,28,Radius,4.9593,,,,,
Circle,니들외경,29,Diameter,13.6042,,,,,
Circle,니들외경,29,Radius,6.8021,,,,,
Distance,k,74,LC,0.7558,,,,,
Distance,l,75,LC,1.5513,,,,,
Distance,m,76,LC,2.3857,,,,,
Distance,n,77,LC,3.1975,,,,,
Distance,o,78,LC,3.9801,,,,,
Distance,p,79,LC,0.7806,,,,,
Distance,q,80,LC,1.5705,,,,,
Distance,r,81,LC,2.3826,,,,,
Distance,s,82,LC,3.1677,,,,,
Distance,t,83,LC,3.9573,,,,,
Distance,u,84,LC,0.7982,,,,,
Distance,v,85,LC,1.5949,,,,,
Distance,w,86,LC,2.3900,,,,,
Distance,x,87,LC,3.1865,,,,,
Distance,y,88,LC,3.9815,,,,,
Distance,z,89,LC,0.7905,,,,,
Distance,label1,90,LC,1.5872,,,,,
Distance,label2,91,LC,2.3806,,,,,
Distance,label3,92,LC,3.1719,,,,,
Distance,label4,93,LC,3.9646,,,,,
