FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,밀핀,3,Flatness,,,0.0058,,,
Distance,j1,8,SC,0.0440,,,,,
Distance,j2,9,SC,0.0369,,,,,
Distance,거리-3,10,SC,0.0331,,,,,
Distance,거리-4,11,SC,0.0333,,,,,
