FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0028,,,
Plane,면-2,10,Flatness,,,0.0011,,,
Plane,니들베이스면,11,Flatness,,,0.0053,,,
Distance,베이스두께1,16,SC,1.0078,,,,,
Distance,베이스면두께2,17,SC,1.0094,,,,,
Distance,베이스두께3,18,SC,1.0041,,,,,
Distance,베이스두께4,19,SC,1.0078,,,,,
Distance,서포트두께1,24,SC,0.5005,,,,,
Distance,서포트두께2,25,SC,0.5043,,,,,
Distance,서포트두께3,26,SC,0.4915,,,,,
Distance,서포트두께4,27,SC,0.4967,,,,,
Circle,니들내경,28,Diameter,9.9368,,,,,
Circle,니들내경,28,Radius,4.9684,,,,,
Circle,니들외경,29,Diameter,13.6226,,,,,
Circle,니들외경,29,Radius,6.8113,,,,,
Distance,k,74,LC,0.7850,,,,,
Distance,l,75,LC,1.5750,,,,,
Distance,m,76,LC,2.3974,,,,,
Distance,n,77,LC,3.1957,,,,,
Distance,o,78,LC,4.0004,,,,,
Distance,p,79,LC,0.7925,,,,,
Distance,q,80,LC,1.5748,,,,,
Distance,r,81,LC,2.3569,,,,,
Distance,s,82,LC,3.1577,,,,,
Distance,t,83,LC,3.9539,,,,,
Distance,u,84,LC,0.7984,,,,,
Distance,v,85,LC,1.5907,,,,,
Distance,w,86,LC,2.3847,,,,,
Distance,x,87,LC,3.1819,,,,,
Distance,y,88,LC,3.9745,,,,,
Distance,z,89,LC,0.7929,,,,,
Distance,label1,90,LC,1.5894,,,,,
Distance,label2,91,LC,2.3849,,,,,
Distance,label3,92,LC,3.1788,,,,,
Distance,label4,93,LC,3.9779,,,,,
