FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Plane,니들서포트면,9,Flatness,,,0.0021,,,
Plane,면-2,10,Flatness,,,0.0006,,,
Plane,니들베이스면,11,Flatness,,,0.0041,,,
Distance,베이스두께1,16,SC,1.0097,,,,,
Distance,베이스면두께2,17,SC,1.0132,,,,,
Distance,베이스두께3,18,SC,1.0040,,,,,
Distance,베이스두께4,19,SC,1.0057,,,,,
Distance,서포트두께1,24,SC,0.5056,,,,,
Distance,서포트두께2,25,SC,0.5061,,,,,
Distance,서포트두께3,26,SC,0.4929,,,,,
Distance,서포트두께4,27,SC,0.4995,,,,,
Circle,니들내경,28,Diameter,9.9406,,,,,
Circle,니들내경,28,Radius,4.9703,,,,,
Distance,k,73,LC,0.7553,,,,,
Distance,l,74,LC,1.5535,,,,,
Distance,m,75,LC,2.4029,,,,,
Distance,n,76,LC,3.1849,,,,,
Distance,o,77,LC,3.9685,,,,,
Distance,p,78,LC,0.8040,,,,,
Distance,q,79,LC,1.5953,,,,,
Distance,r,80,LC,2.3889,,,,,
Distance,s,81,LC,3.1848,,,,,
Distance,t,82,LC,3.9773,,,,,
Distance,u,83,LC,0.8016,,,,,
Distance,v,84,LC,1.5974,,,,,
Distance,w,85,LC,2.3916,,,,,
Distance,x,86,LC,3.1894,,,,,
Distance,y,87,LC,3.9818,,,,,
Distance,z,88,LC,0.7917,,,,,
Distance,label1,89,LC,1.5856,,,,,
Distance,label2,90,LC,2.3835,,,,,
Distance,label3,91,LC,3.1794,,,,,
Distance,label4,92,LC,3.9730,,,,,
Circle,MN_out_Diameter,93,Diameter,13.3828,,,,,
Circle,MN_out_Diameter,93,Radius,6.6914,,,,,
Distance,cplusd,99,LC,10.5070,,,,,
Distance,aplusb,101,LC,12.9058,,,,,
Circle,원-1,102,Diameter,13.6353,,,,,
Circle,원-1,102,Radius,6.8176,,,,,
