FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,芭府-1[5,11],439,SC,0.7859,,,,,
Distance,芭府-1[6,1],449,SC,0.7728,,,,,
Distance,芭府-1[6,2],459,SC,0.7801,,,,,
Distance,芭府-1[6,3],469,SC,0.7819,,,,,
Distance,芭府-1[6,4],479,SC,0.7924,,,,,
Distance,芭府-1[6,5],489,SC,0.7829,,,,,
Distance,芭府-1[6,6],499,SC,0.7734,,,,,
Distance,芭府-1[6,7],509,SC,0.7887,,,,,
Distance,芭府-1[6,8],519,SC,0.7738,,,,,
Distance,芭府-1[6,9],529,SC,0.7309,,,,,
Distance,芭府-1[6,10],539,SC,0.7906,,,,,
Distance,芭府-1[6,11],549,SC,0.7909,,,,,
Distance,芭府-1[7,1],559,SC,0.7712,,,,,
Distance,芭府-1[7,2],569,SC,0.7794,,,,,
Distance,芭府-1[7,3],579,SC,0.7949,,,,,
Distance,芭府-1[7,4],589,SC,0.7409,,,,,
Distance,芭府-1[7,5],599,SC,0.7490,,,,,
Distance,芭府-1[7,6],609,SC,0.7792,,,,,
Distance,芭府-1[7,7],619,SC,0.7892,,,,,
Distance,芭府-1[7,8],629,SC,0.7372,,,,,
Distance,芭府-1[7,9],639,SC,0.7402,,,,,
Distance,芭府-1[7,10],649,SC,0.7958,,,,,
Distance,芭府-1[7,11],659,SC,0.7888,,,,,
Distance,芭府-1[8,1],669,SC,0.7804,,,,,
Distance,芭府-1[8,2],679,SC,0.7563,,,,,
Distance,芭府-1[8,3],689,SC,0.7171,,,,,
Distance,芭府-1[8,4],699,SC,0.7404,,,,,
Distance,芭府-1[8,5],709,SC,0.7984,,,,,
Distance,芭府-1[8,6],719,SC,0.8071,,,,,
Distance,芭府-1[8,7],729,SC,0.7691,,,,,
Distance,芭府-1[8,8],739,SC,0.7869,,,,,
Distance,芭府-1[8,9],749,SC,0.7480,,,,,
Distance,芭府-1[8,10],759,SC,0.7774,,,,,
Distance,芭府-1[8,11],769,SC,0.7842,,,,,
Distance,芭府-1[9,2],779,SC,0.7704,,,,,
Distance,芭府-1[9,3],789,SC,0.7464,,,,,
Distance,芭府-1[9,4],799,SC,0.7362,,,,,
Distance,芭府-1[9,5],809,SC,0.7741,,,,,
Distance,芭府-1[9,6],819,SC,0.7564,,,,,
Distance,芭府-1[9,7],829,SC,0.7757,,,,,
Distance,芭府-1[9,8],839,SC,0.7732,,,,,
Distance,芭府-1[9,9],849,SC,0.7381,,,,,
Distance,芭府-1[9,10],859,SC,0.7710,,,,,
Distance,芭府-1[10,3],869,SC,0.7375,,,,,
Distance,芭府-1[10,4],879,SC,0.7711,,,,,
Distance,芭府-1[10,5],889,SC,0.8063,,,,,
Distance,芭府-1[10,6],899,SC,0.7568,,,,,
Distance,芭府-1[10,7],909,SC,0.7761,,,,,
Distance,芭府-1[10,8],919,SC,0.7644,,,,,
Distance,芭府-1[10,9],929,SC,0.7982,,,,,
Distance,芭府-1[11,4],939,SC,0.7703,,,,,
Distance,芭府-1[11,5],949,SC,0.7710,,,,,
Distance,芭府-1[11,6],959,SC,0.7731,,,,,
Distance,芭府-1[11,7],969,SC,0.7618,,,,,
Distance,芭府-1[11,8],979,SC,0.7624,,,,,
