FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,芭府-3[1,4],19,SC,0.7755,,,,,
Distance,芭府-3[1,5],29,SC,0.7820,,,,,
Distance,芭府-3[1,6],39,SC,0.7386,,,,,
Distance,芭府-3[1,7],49,SC,0.7928,,,,,
Distance,芭府-3[1,8],59,SC,0.7862,,,,,
Distance,芭府-3[2,3],69,SC,0.7791,,,,,
Distance,芭府-3[2,4],79,SC,0.7076,,,,,
Distance,芭府-3[2,5],89,SC,0.7766,,,,,
Distance,芭府-3[2,6],99,SC,0.7796,,,,,
Distance,芭府-3[2,7],109,SC,0.7946,,,,,
Distance,芭府-3[2,8],119,SC,0.7508,,,,,
Distance,芭府-3[2,9],129,SC,0.7770,,,,,
Distance,芭府-3[3,2],139,SC,0.7275,,,,,
Distance,芭府-3[3,3],149,SC,0.7614,,,,,
Distance,芭府-3[3,4],159,SC,0.7102,,,,,
Distance,芭府-3[3,5],169,SC,0.7682,,,,,
Distance,芭府-3[3,6],179,SC,0.7812,,,,,
Distance,芭府-3[3,7],189,SC,0.7076,,,,,
Distance,芭府-3[3,8],199,SC,0.7330,,,,,
Distance,芭府-3[3,9],209,SC,0.7689,,,,,
Distance,芭府-3[3,10],219,SC,0.7773,,,,,
Distance,芭府-3[4,1],229,SC,0.7780,,,,,
Distance,芭府-3[4,2],239,SC,0.7732,,,,,
Distance,芭府-3[4,3],249,SC,0.7696,,,,,
Distance,芭府-3[4,4],259,SC,0.7251,,,,,
Distance,芭府-3[4,5],269,SC,0.7728,,,,,
Distance,芭府-3[4,6],279,SC,0.8049,,,,,
Distance,芭府-3[4,7],289,SC,0.7850,,,,,
Distance,芭府-3[4,8],299,SC,0.7599,,,,,
Distance,芭府-3[4,9],309,SC,0.7010,,,,,
Distance,芭府-3[4,10],319,SC,0.7896,,,,,
Distance,芭府-3[4,11],329,SC,0.7771,,,,,
Distance,芭府-3[5,1],339,SC,0.7664,,,,,
Distance,芭府-3[5,2],349,SC,0.7709,,,,,
Distance,芭府-3[5,3],359,SC,0.7769,,,,,
Distance,芭府-3[5,4],369,SC,0.7173,,,,,
Distance,芭府-3[5,5],379,SC,0.7815,,,,,
Distance,芭府-3[5,6],389,SC,0.7302,,,,,
Distance,芭府-3[5,7],399,SC,0.7974,,,,,
Distance,芭府-3[5,8],409,SC,0.7396,,,,,
Distance,芭府-3[5,9],419,SC,0.7885,,,,,
Distance,芭府-3[5,10],429,SC,0.7824,,,,,
Distance,芭府-3[5,11],439,SC,0.7834,,,,,
Distance,芭府-3[6,1],449,SC,0.7650,,,,,
Distance,芭府-3[6,2],459,SC,0.7760,,,,,
Distance,芭府-3[6,3],469,SC,0.7789,,,,,
Distance,芭府-3[6,4],479,SC,0.8025,,,,,
Distance,芭府-3[6,5],489,SC,0.7794,,,,,
Distance,芭府-3[6,6],499,SC,0.7206,,,,,
Distance,芭府-3[6,7],509,SC,0.7849,,,,,
Distance,芭府-3[6,8],519,SC,0.7161,,,,,
Distance,芭府-3[6,9],529,SC,0.7137,,,,,
Distance,芭府-3[6,10],539,SC,0.7831,,,,,
Distance,芭府-3[6,11],549,SC,0.7831,,,,,
Distance,芭府-3[7,1],559,SC,0.7630,,,,,
Distance,芭府-3[7,2],569,SC,0.7758,,,,,
Distance,芭府-3[7,3],579,SC,0.7062,,,,,
Distance,芭府-3[7,4],589,SC,0.7302,,,,,
Distance,芭府-3[7,5],599,SC,0.7586,,,,,
Distance,芭府-3[7,6],609,SC,0.7753,,,,,
Distance,芭府-3[7,7],619,SC,0.7845,,,,,
Distance,芭府-3[7,8],629,SC,0.7321,,,,,
Distance,芭府-3[7,9],639,SC,0.7415,,,,,
Distance,芭府-3[7,10],649,SC,0.6842,,,,,
