FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,芭府-3[7,11],659,SC,0.7442,,,,,
Distance,芭府-3[8,1],669,SC,0.7691,,,,,
Distance,芭府-3[8,2],679,SC,0.7669,,,,,
Distance,芭府-3[8,3],689,SC,0.7116,,,,,
Distance,芭府-3[8,4],699,SC,0.7180,,,,,
Distance,芭府-3[8,5],709,SC,0.7076,,,,,
Distance,芭府-3[8,6],719,SC,0.7438,,,,,
Distance,芭府-3[8,7],729,SC,0.7463,,,,,
Distance,芭府-3[8,8],739,SC,0.7140,,,,,
Distance,芭府-3[8,9],749,SC,0.6999,,,,,
Distance,芭府-3[8,10],759,SC,0.7723,,,,,
Distance,芭府-3[8,11],769,SC,0.7820,,,,,
Distance,芭府-3[9,2],779,SC,0.7702,,,,,
Distance,芭府-3[9,3],789,SC,0.7062,,,,,
Distance,芭府-3[9,4],799,SC,0.7303,,,,,
Distance,芭府-3[9,5],809,SC,0.7698,,,,,
Distance,芭府-3[9,6],819,SC,0.7043,,,,,
Distance,芭府-3[9,7],829,SC,0.7729,,,,,
Distance,芭府-3[9,8],839,SC,0.7149,,,,,
Distance,芭府-3[9,9],849,SC,0.7771,,,,,
Distance,芭府-3[9,10],859,SC,0.7672,,,,,
Distance,芭府-3[10,3],869,SC,0.7436,,,,,
Distance,芭府-3[10,4],879,SC,0.7646,,,,,
Distance,芭府-3[10,5],889,SC,0.7975,,,,,
Distance,芭府-3[10,6],899,SC,0.7489,,,,,
Distance,芭府-3[10,7],909,SC,0.7688,,,,,
Distance,芭府-3[10,8],919,SC,0.7673,,,,,
Distance,芭府-3[10,9],929,SC,0.7038,,,,,
Distance,芭府-3[11,4],939,SC,0.7689,,,,,
Distance,芭府-3[11,5],949,SC,0.7632,,,,,
Distance,芭府-3[11,6],959,SC,0.7664,,,,,
Distance,芭府-3[11,7],969,SC,0.7688,,,,,
Distance,芭府-3[11,8],979,SC,0.7675,,,,,
