FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,芭府-1[1,4],19,SC,0.6640,,,,,
Distance,芭府-1[1,5],29,SC,0.6605,,,,,
Distance,芭府-1[1,6],39,SC,0.6587,,,,,
Distance,芭府-1[1,7],49,SC,0.6634,,,,,
Distance,芭府-1[1,8],59,SC,0.6572,,,,,
Distance,芭府-1[2,3],69,SC,0.6346,,,,,
Distance,芭府-1[2,4],79,SC,0.6566,,,,,
Distance,芭府-1[2,5],89,SC,0.5977,,,,,
Distance,芭府-1[2,6],99,SC,0.6559,,,,,
Distance,芭府-1[2,7],109,SC,0.6537,,,,,
Distance,芭府-1[2,8],119,SC,0.6629,,,,,
Distance,芭府-1[2,9],129,SC,0.6335,,,,,
Distance,芭府-1[3,2],139,SC,0.6304,,,,,
Distance,芭府-1[3,3],149,SC,0.6259,,,,,
Distance,芭府-1[3,4],159,SC,0.6535,,,,,
Distance,芭府-1[3,5],169,SC,0.6576,,,,,
Distance,芭府-1[3,6],179,SC,0.6557,,,,,
Distance,芭府-1[3,7],189,SC,0.6602,,,,,
Distance,芭府-1[3,8],199,SC,0.6634,,,,,
Distance,芭府-1[3,9],209,SC,0.6257,,,,,
Distance,芭府-1[3,10],219,SC,0.6312,,,,,
Distance,芭府-1[4,1],229,SC,0.6628,,,,,
Distance,芭府-1[4,2],239,SC,0.6550,,,,,
Distance,芭府-1[4,3],249,SC,0.6577,,,,,
Distance,芭府-1[4,4],259,SC,0.6496,,,,,
Distance,芭府-1[4,5],269,SC,0.6526,,,,,
Distance,芭府-1[4,6],279,SC,0.6525,,,,,
Distance,芭府-1[4,7],289,SC,0.6560,,,,,
Distance,芭府-1[4,8],299,SC,0.6543,,,,,
Distance,芭府-1[4,9],309,SC,0.6470,,,,,
Distance,芭府-1[4,10],319,SC,0.6407,,,,,
Distance,芭府-1[4,11],329,SC,0.6389,,,,,
Distance,芭府-1[5,1],339,SC,0.6618,,,,,
Distance,芭府-1[5,2],349,SC,0.6526,,,,,
Distance,芭府-1[5,3],359,SC,0.6550,,,,,
Distance,芭府-1[5,4],369,SC,0.6582,,,,,
Distance,芭府-1[5,5],379,SC,0.6578,,,,,
Distance,芭府-1[5,6],389,SC,0.6572,,,,,
Distance,芭府-1[5,7],399,SC,0.6600,,,,,
Distance,芭府-1[5,8],409,SC,0.6542,,,,,
Distance,芭府-1[5,9],419,SC,0.6527,,,,,
Distance,芭府-1[5,10],429,SC,0.6451,,,,,
Distance,芭府-1[5,11],439,SC,0.6395,,,,,
Distance,芭府-1[6,1],449,SC,0.6835,,,,,
Distance,芭府-1[6,2],459,SC,0.6540,,,,,
Distance,芭府-1[6,3],469,SC,0.6584,,,,,
Distance,芭府-1[6,4],479,SC,0.6624,,,,,
Distance,芭府-1[6,5],489,SC,0.6604,,,,,
Distance,芭府-1[6,6],499,SC,0.6579,,,,,
Distance,芭府-1[6,7],509,SC,0.6611,,,,,
Distance,芭府-1[6,8],519,SC,0.6582,,,,,
Distance,芭府-1[6,9],529,SC,0.6584,,,,,
Distance,芭府-1[6,10],539,SC,0.6490,,,,,
Distance,芭府-1[6,11],549,SC,0.6384,,,,,
Distance,芭府-1[7,1],559,SC,0.6658,,,,,
Distance,芭府-1[7,2],569,SC,0.6571,,,,,
Distance,芭府-1[7,3],579,SC,0.6619,,,,,
Distance,芭府-1[7,4],589,SC,0.6653,,,,,
Distance,芭府-1[7,5],599,SC,0.6640,,,,,
Distance,芭府-1[7,6],609,SC,0.6653,,,,,
Distance,芭府-1[7,7],619,SC,0.6662,,,,,
Distance,芭府-1[7,8],629,SC,0.6628,,,,,
Distance,芭府-1[7,9],639,SC,0.6573,,,,,
Distance,芭府-1[7,10],649,SC,0.6485,,,,,
Distance,芭府-1[7,11],659,SC,0.6431,,,,,
Distance,芭府-1[8,1],669,SC,0.6741,,,,,
Distance,芭府-1[8,2],679,SC,0.6577,,,,,
Distance,芭府-1[8,3],689,SC,0.6625,,,,,
Distance,芭府-1[8,4],699,SC,0.6674,,,,,
Distance,芭府-1[8,5],709,SC,0.6658,,,,,
Distance,芭府-1[8,6],719,SC,0.6691,,,,,
Distance,芭府-1[8,7],729,SC,0.6654,,,,,
Distance,芭府-1[8,8],739,SC,0.6629,,,,,
Distance,芭府-1[8,9],749,SC,0.6605,,,,,
Distance,芭府-1[8,10],759,SC,0.6541,,,,,
Distance,芭府-1[8,11],769,SC,0.6454,,,,,
Distance,芭府-1[9,2],779,SC,0.6379,,,,,
Distance,芭府-1[9,3],789,SC,0.6415,,,,,
Distance,芭府-1[9,4],799,SC,0.6796,,,,,
Distance,芭府-1[9,5],809,SC,0.6811,,,,,
Distance,芭府-1[9,6],819,SC,0.6786,,,,,
Distance,芭府-1[9,7],829,SC,0.6787,,,,,
Distance,芭府-1[9,8],839,SC,0.6757,,,,,
Distance,芭府-1[9,9],849,SC,0.6409,,,,,
Distance,芭府-1[9,10],859,SC,0.6343,,,,,
Distance,芭府-1[10,3],869,SC,0.6377,,,,,
Distance,芭府-1[10,4],879,SC,0.6769,,,,,
Distance,芭府-1[10,5],889,SC,0.6815,,,,,
Distance,芭府-1[10,6],899,SC,0.6808,,,,,
Distance,芭府-1[10,7],909,SC,0.6784,,,,,
Distance,芭府-1[10,8],919,SC,0.6769,,,,,
Distance,芭府-1[10,9],929,SC,0.6362,,,,,
Distance,芭府-1[11,4],939,SC,0.6759,,,,,
Distance,芭府-1[11,5],949,SC,0.6814,,,,,
Distance,芭府-1[11,6],959,SC,0.6766,,,,,
Distance,芭府-1[11,7],969,SC,0.6793,,,,,
Distance,芭府-1[11,8],979,SC,0.6791,,,,,
