FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,芭府-1[1,4],19,SC,0.7403,,,,
Distance,芭府-1[1,5],29,SC,0.7377,,,,
Distance,芭府-1[1,6],39,SC,0.734,,,,
Distance,芭府-1[1,7],49,SC,0.7337,,,,
Distance,芭府-1[1,8],59,SC,0.7453,,,,
Distance,芭府-1[2,3],69,SC,0.7367,,,,
Distance,芭府-1[2,4],79,SC,0.7403,,,,
Distance,芭府-1[2,5],89,SC,0.7472,,,,
Distance,芭府-1[2,6],99,SC,0.742,,,,
Distance,芭府-1[2,7],109,SC,0.7415,,,,
Distance,芭府-1[2,8],119,SC,0.7492,,,,
Distance,芭府-1[2,9],129,SC,0.7547,,,,
Distance,芭府-1[3,2],139,SC,0.7402,,,,
Distance,芭府-1[3,3],149,SC,0.7445,,,,
Distance,芭府-1[3,4],159,SC,0.7401,,,,
Distance,芭府-1[3,5],169,SC,0.7558,,,,
Distance,芭府-1[3,6],179,SC,0.752,,,,
Distance,芭府-1[3,7],189,SC,0.7469,,,,
Distance,芭府-1[3,8],199,SC,0.7521,,,,
Distance,芭府-1[3,9],209,SC,0.7579,,,,
Distance,芭府-1[3,10],219,SC,0.7442,,,,
Distance,芭府-1[4,1],229,SC,0.7759,,,,
Distance,芭府-1[4,2],239,SC,0.7753,,,,
Distance,芭府-1[4,3],249,SC,0.7827,,,,
Distance,芭府-1[4,4],259,SC,0.7659,,,,
Distance,芭府-1[4,5],269,SC,0.7739,,,,
Distance,芭府-1[4,6],279,SC,0.7741,,,,
Distance,芭府-1[4,7],289,SC,0.7603,,,,
Distance,芭府-1[4,8],299,SC,0.7614,,,,
Distance,芭府-1[4,9],309,SC,0.7561,,,,
Distance,芭府-1[4,10],319,SC,0.7539,,,,
Distance,芭府-1[4,11],329,SC,0.7312,,,,
Distance,芭府-1[5,1],339,SC,0.7727,,,,
Distance,芭府-1[5,2],349,SC,0.7798,,,,
Distance,芭府-1[5,3],359,SC,0.7788,,,,
Distance,芭府-1[5,4],369,SC,0.7783,,,,
Distance,芭府-1[5,5],379,SC,0.782,,,,
Distance,芭府-1[5,6],389,SC,0.782,,,,
Distance,芭府-1[5,7],399,SC,0.7723,,,,
Distance,芭府-1[5,8],409,SC,0.7725,,,,
Distance,芭府-1[5,9],419,SC,0.761,,,,
Distance,芭府-1[5,10],429,SC,0.7578,,,,
Distance,芭府-1[5,11],439,SC,0.7639,,,,
Distance,芭府-1[6,1],449,SC,0.7766,,,,
Distance,芭府-1[6,2],459,SC,0.7847,,,,
Distance,芭府-1[6,3],469,SC,0.7858,,,,
Distance,芭府-1[6,4],479,SC,0.7911,,,,
Distance,芭府-1[6,5],489,SC,0.7882,,,,
Distance,芭府-1[6,6],499,SC,0.7853,,,,
Distance,芭府-1[6,7],509,SC,0.7803,,,,
Invalid Feature,芭府-1[6,8],519,****,0.7809,,,,
Distance,芭府-1[6,9],529,SC,0.7681,,,,
Distance,芭府-1[6,10],539,SC,0.7685,,,,
Distance,芭府-1[6,11],549,SC,0.7658,,,,
Distance,芭府-1[7,1],559,SC,0.7789,,,,
Distance,芭府-1[7,2],569,SC,0.7873,,,,
Distance,芭府-1[7,3],579,SC,0.7878,,,,
Distance,芭府-1[7,4],589,SC,0.7899,,,,
Distance,芭府-1[7,5],599,SC,0.7948,,,,
Distance,芭府-1[7,6],609,SC,0.7717,,,,
Distance,芭府-1[7,7],619,SC,0.7871,,,,
Distance,芭府-1[7,8],629,SC,0.7621,,,,
Distance,芭府-1[7,9],639,SC,0.7733,,,,
Distance,芭府-1[7,10],649,SC,0.774,,,,
Distance,芭府-1[7,11],659,SC,0.7759,,,,
Distance,芭府-1[8,1],669,SC,0.7689,,,,
Distance,芭府-1[8,2],679,SC,0.7915,,,,
Distance,芭府-1[8,3],689,SC,0.7888,,,,
Distance,芭府-1[8,4],699,SC,0.793,,,,
Distance,芭府-1[8,5],709,SC,0.7967,,,,
Distance,芭府-1[8,6],719,SC,0.7885,,,,
Distance,芭府-1[8,7],729,SC,0.7851,,,,
Distance,芭府-1[8,8],739,SC,0.7798,,,,
Distance,芭府-1[8,9],749,SC,0.7778,,,,
Distance,芭府-1[8,10],759,SC,0.7758,,,,
Distance,芭府-1[8,11],769,SC,0.7726,,,,
Distance,芭府-1[9,2],779,SC,0.7822,,,,
Distance,芭府-1[9,3],789,SC,0.783,,,,
Distance,芭府-1[9,4],799,SC,0.7862,,,,
Distance,芭府-1[9,5],809,SC,0.7852,,,,
Distance,芭府-1[9,6],819,SC,0.782,,,,
Distance,芭府-1[9,7],829,SC,0.7882,,,,
Distance,芭府-1[9,8],839,SC,0.7879,,,,
Distance,芭府-1[9,9],849,SC,0.7855,,,,
Distance,芭府-1[9,10],859,SC,0.7861,,,,
Distance,芭府-1[10,3],869,SC,0.7853,,,,
Distance,芭府-1[10,4],879,SC,0.7764,,,,
Distance,芭府-1[10,5],889,SC,0.789,,,,
Distance,芭府-1[10,6],899,SC,0.7935,,,,
Distance,芭府-1[10,7],909,SC,0.7829,,,,
Distance,芭府-1[10,8],919,SC,0.7881,,,,
Distance,芭府-1[10,9],929,SC,0.7854,,,,
Distance,芭府-1[11,4],939,SC,0.7842,,,,
Distance,芭府-1[11,5],949,SC,0.7612,,,,
Distance,芭府-1[11,6],959,SC,0.7862,,,,
Distance,芭府-1[11,7],969,SC,0.7794,,,,
Distance,芭府-1[11,8],979,SC,0.7887,,,,
