FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Point,점-4[8,2],678,Coord_Z,0.7623,,,,
Distance,거리-1[8,2],679,SC,0.7637,,,,
Point,점-4[8,3],688,Coord_Z,0.789,,,,
Distance,거리-1[8,3],689,SC,0.7898,,,,
Point,점-4[8,4],698,Coord_Z,0.838,,,,
Distance,거리-1[8,4],699,SC,0.8397,,,,
Point,점-4[8,5],708,Coord_Z,0.8222,,,,
Distance,거리-1[8,5],709,SC,0.823,,,,
Point,점-4[8,6],718,Coord_Z,0.8117,,,,
Distance,거리-1[8,6],719,SC,0.8124,,,,
Point,점-4[8,7],728,Coord_Z,0.8186,,,,
Distance,거리-1[8,7],729,SC,0.82,,,,
Point,점-4[8,8],738,Coord_Z,0.8214,,,,
Distance,거리-1[8,8],739,SC,0.8223,,,,
Point,점-4[8,9],748,Coord_Z,0.8092,,,,
Distance,거리-1[8,9],749,SC,0.8094,,,,
Point,점-4[8,10],758,Coord_Z,0.8082,,,,
Distance,거리-1[8,10],759,SC,0.8088,,,,
Point,점-4[8,11],768,Coord_Z,0.8141,,,,
Distance,거리-1[8,11],769,SC,0.815,,,,
Point,점-4[9,2],778,Coord_Z,0.8197,,,,
Distance,거리-1[9,2],779,SC,0.8214,,,,
Point,점-4[9,3],788,Coord_Z,0.8016,,,,
Distance,거리-1[9,3],789,SC,0.8019,,,,
Point,점-4[9,4],798,Coord_Z,0.8094,,,,
Distance,거리-1[9,4],799,SC,0.8105,,,,
Point,점-4[9,5],808,Coord_Z,0.807,,,,
Distance,거리-1[9,5],809,SC,0.8079,,,,
Point,점-4[9,6],818,Coord_Z,0.7618,,,,
Distance,거리-1[9,6],819,SC,0.7629,,,,
Point,점-4[9,7],828,Coord_Z,0.8332,,,,
Distance,거리-1[9,7],829,SC,0.8343,,,,
Point,점-4[9,8],838,Coord_Z,0.8429,,,,
Distance,거리-1[9,8],839,SC,0.8439,,,,
Point,점-4[9,9],848,Coord_Z,0.8288,,,,
Distance,거리-1[9,9],849,SC,0.8293,,,,
Point,점-4[9,10],858,Coord_Z,0.8228,,,,
Distance,거리-1[9,10],859,SC,0.8235,,,,
Point,점-4[10,3],868,Coord_Z,0.8173,,,,
Distance,거리-1[10,3],869,SC,0.8179,,,,
Point,점-4[10,4],878,Coord_Z,0.7536,,,,
Distance,거리-1[10,4],879,SC,0.7545,,,,
Point,점-4[10,5],888,Coord_Z,0.8134,,,,
Distance,거리-1[10,5],889,SC,0.814,,,,
Point,점-4[10,6],898,Coord_Z,0.8182,,,,
Distance,거리-1[10,6],899,SC,0.8192,,,,
Point,점-4[10,7],908,Coord_Z,0.8057,,,,
Distance,거리-1[10,7],909,SC,0.8065,,,,
Point,점-4[10,8],918,Coord_Z,0.8101,,,,
Distance,거리-1[10,8],919,SC,0.8109,,,,
Point,점-4[10,9],928,Coord_Z,0.771,,,,
Distance,거리-1[10,9],929,SC,0.7721,,,,
Point,점-4[11,4],938,Coord_Z,0.806,,,,
Distance,거리-1[11,4],939,SC,0.807,,,,
Point,점-4[11,5],948,Coord_Z,0.8096,,,,
Distance,거리-1[11,5],949,SC,0.8105,,,,
Point,점-4[11,6],958,Coord_Z,0.8095,,,,
Distance,거리-1[11,6],959,SC,0.8107,,,,
Point,점-4[11,7],968,Coord_Z,0.8081,,,,
Distance,거리-1[11,7],969,SC,0.8086,,,,
Point,점-4[11,8],978,Coord_Z,0.8174,,,,
Distance,거리-1[11,8],979,SC,0.8185,,,,
,,,,,0.812258549,,,,
,,,,,0.019745029,,,,
,,,,,2.430879861,,,,
