,0
a+b,12.8978
c+d,10.501
e,13.6065
f,0.7893
g,0.4985
g_1,0.501
g_2,0.5053
g_3,0.4914
g_4,0.4963
h,1.0227
h_1,1.0361
h_2,1.0321
h_3,1.0072
h_4,1.0154
j,0.007075
j_1,0.0012
j_2,0.0111
j_3,0.006
j_4,0.01
k,0.7535
l,1.537
m,2.3777
n,3.1855
o,3.9786
p,0.8108
q,1.6005
r,2.3957
s,3.1766
t,3.9836
u,0.8052
v,1.6
w,2.3943
x,3.1893
y,3.9848
z,0.7893
1,1.5809
2,2.3746
3,3.1722
4,3.9681
base_flatness,0.0022
support_flatness,0.0024
