,0
a+b,12.9099
c+d,10.4995
e,13.6426
f,0.7962
g,0.455225
g_1,0.4627
g_2,0.4506
g_3,0.447
g_4,0.4606
h,1.0062
h_1,1.0124
h_2,1.0071
h_3,1.0001
h_4,1.0052
j,0.011250000000000001
j_1,0.0104
j_2,0.0251
j_3,0.0027
j_4,0.0068
k,0.7996
l,1.5906
m,2.3861
n,3.1795
o,3.977
p,0.7946
q,1.5915
r,2.3886
s,3.1575
t,3.9765
u,0.7956
v,1.5909
w,2.3886
x,3.1802
y,3.9739
z,0.7962
1,1.5901
2,2.3859
3,3.1802
4,3.9763
base_flatness,0.0022
support_flatness,0.0014
