,0
a+b,12.966
c+d,10.4764
e,13.5953
f,0.7841
g,0.49665000000000004
g_1,0.499
g_2,0.504
g_3,0.4879
g_4,0.4957
h,0.99985
h_1,0.9988
h_2,1.0056
h_3,0.999
h_4,0.996
j,0.036825
j_1,0.044
j_2,0.0369
j_3,0.0331
j_4,0.0333
k,0.757
l,1.5497
m,2.3859
n,3.1812
o,3.9822
p,0.786
q,1.5714
r,2.3851
s,3.1678
t,3.9537
u,0.8035
v,1.6
w,2.3947
x,3.1899
y,3.9801
z,0.7841
1,1.5845
2,2.376
3,3.1651
4,3.9606
base_flatness,0.0019
support_flatness,0.0071
