,0
a+b,12.9428
c+d,10.5017
e,13.6247
f,0.796
g,0.5027
g_1,0.5006
g_2,0.5106
g_3,0.4996
g_4,0.5
h,0.9999750000000001
h_1,1.001
h_2,0.9998
h_3,0.9994
h_4,0.9997
j,0.004574999999999999
j_1,0.0001
j_2,0.009
j_3,0.0015
j_4,0.0077
k,0.7724
l,1.5651
m,2.394
n,3.2089
o,3.9976
p,0.7972
q,1.5839
r,2.3792
s,3.169
t,3.957
u,0.7958
v,1.5893
w,2.3826
x,3.1787
y,3.9705
z,0.796
1,1.592
2,2.3886
3,3.1824
4,3.9789
base_flatness,0.0009
support_flatness,0.0024
