,0
a+b,12.9225
c+d,10.498
e,13.5947
f,0.7957
g,0.455825
g_1,0.4631
g_2,0.4516
g_3,0.4462
g_4,0.4624
h,1.00625
h_1,1.0107
h_2,1.0114
h_3,0.9988
h_4,1.0041
j,0.0099
j_1,0.0086
j_2,0.0189
j_3,0.0026
j_4,0.0095
k,0.796
l,1.591
m,2.3887
n,3.1808
o,3.978
p,0.7936
q,1.5912
r,2.3845
s,3.1797
t,3.9729
u,0.7929
v,1.5903
w,2.3878
x,3.1796
y,3.9766
z,0.7957
1,1.5908
2,2.3851
3,3.1835
4,3.9757
base_flatness,0.0018
support_flatness,0.0011
