,0
a+b,12.9125
c+d,10.4954
e,13.6337
f,0.7913
g,0.45782500000000004
g_1,0.462
g_2,0.4524
g_3,0.4491
g_4,0.4678
h,1.001725
h_1,1.0037
h_2,1.0022
h_3,0.9987
h_4,1.0023
j,0.010075
j_1,0.0072
j_2,0.0166
j_3,0.0047
j_4,0.0118
k,0.7923
l,1.587
m,2.3834
n,3.1776
o,3.9751
p,0.8039
q,1.5934
r,2.3879
s,3.1581
t,3.9758
u,0.7959
v,1.5915
w,2.3878
x,3.1804
y,3.9801
z,0.7913
1,1.5906
2,2.384
3,3.1798
4,3.9738
base_flatness,0.0003
support_flatness,0.0029
