,0
a+b,12.914
c+d,10.4971
e,13.6284
f,0.7886
g,0.500425
g_1,0.5007
g_2,0.5088
g_3,0.4947
g_4,0.4975
h,1.006425
h_1,1.0063
h_2,1.009
h_3,1.0054
h_4,1.005
j,0.0063999999999999994
j_1,0.0042
j_2,0.0075
j_3,0.003
j_4,0.0109
k,0.7602
l,1.5508
m,2.3859
n,3.1811
o,3.9812
p,0.809
q,1.5967
r,2.3944
s,3.1974
t,3.9798
u,0.8049
v,1.5996
w,2.392
x,3.1894
y,3.9816
z,0.7886
1,1.582
2,2.3741
3,3.1737
4,3.9692
base_flatness,0.0032
support_flatness,0.0022
