,0
a+b,12.914
c+d,10.4992
e,13.6441
f,0.7962
g,0.45685
g_1,0.4595
g_2,0.4548
g_3,0.4491
g_4,0.464
h,1.00265
h_1,1.006
h_2,1.0009
h_3,0.9983
h_4,1.0054
j,0.010075
j_1,0.0096
j_2,0.0194
j_3,0.0021
j_4,0.0092
k,0.7928
l,1.5884
m,2.3828
n,3.1767
o,3.9728
p,0.7984
q,1.5952
r,2.39
s,3.1829
t,3.9775
u,0.7949
v,1.5911
w,2.387
x,3.1797
y,3.9761
z,0.7962
1,1.5921
2,2.3859
3,3.1852
4,3.9771
base_flatness,0.0005
support_flatness,0.0037
