,0
a+b,12.919
c+d,10.5054
e,13.6288
f,0.7947
g,0.4554
g_1,0.4639
g_2,0.4483
g_3,0.4445
g_4,0.4649
h,1.004525
h_1,1.0075
h_2,1.0105
h_3,0.9964
h_4,1.0037
j,0.010175
j_1,0.01
j_2,0.0225
j_3,0.0003
j_4,0.0079
k,0.795
l,1.5883
m,2.3856
n,3.178
o,3.9771
p,0.7957
q,1.5929
r,2.3874
s,3.1814
t,3.9754
u,0.7991
v,1.595
w,2.3915
x,3.1832
y,3.9795
z,0.7947
1,1.5896
2,2.3812
3,3.1757
4,3.9716
base_flatness,0.0038
support_flatness,0.0006
